1;1;RG;21.920.976-04
2;1;CNH;07389227810
3;2;CPF;996.674.737-08
4;2;CNH;19216930684
5;2;CERT. Nasc;501251 71 09 3142 5 22623 211 8057864 28
6;3;RG;39.303.442-30
7;3;CNH;81064729900
8;3;CERT. Nasc;484071 29 98 2592 3 03571 515 4440685 08
9;4;RG;52.202.450-46
10;4;CNH;02659064291
11;4;CERT. Nasc;875631 08 25 7376 6 74223 004 0785969 66
12;5;RG;62.238.508-24
13;5;CNH;01495514684
14;6;RG;97.670.561-08
15;6;CNH;34500504174
16;6;CERT. Nasc;155488 60 33 0670 4 11362 440 3312541 91
17;7;RG;11.621.735-77
18;7;CNH;32896789843
19;7;CERT. Nasc;247492 84 23 1241 6 47918 682 8769001 23
20;8;RG;56.234.714-62
21;8;CNH;30511096727
22;8;CERT. Nasc;327959 29 83 6586 7 00129 277 1466987 42
23;9;RG;37.175.198-63
24;9;CNH;21807637666
25;10;RG;37.655.295-53
26;10;CNH;77015511773
27;10;CERT. Nasc;351605 15 65 6936 2 48745 739 6228187 35
28;11;CPF;864.760.040-18
29;11;CNH;40009556577
30;11;CERT. Nasc;544625 14 49 4100 4 38081 627 9681271 62
31;12;RG;79.992.815-37
32;12;CNH;55293717493
33;12;CERT. Nasc;394424 35 16 4829 0 45560 455 8288828 20
34;13;RG;51.178.518-03
35;13;CNH;01880134709
36;13;CERT. Nasc;071292 56 14 5631 2 93890 312 7713813 41
37;14;RG;54.463.470-70
38;14;CNH;29295893117
39;14;CERT. Nasc;600217 92 83 8948 7 90138 292 5051730 94
40;15;RG;88.493.260-10
41;15;CNH;48487594297
42;15;CERT. Nasc;370497 10 90 7213 2 87481 801 7504405 59
43;16;RG;38.117.706-16
44;16;CNH;53245384708
45;17;RG;13.334.178-73
46;17;CNH;78223842783
47;18;RG;74.583.755-42
48;18;CNH;62769964302
49;18;CERT. Nasc;260760 64 76 4344 8 23832 787 4073416 55
50;19;RG;26.115.864-80
51;19;CNH;94134354516
52;20;CPF;934.690.837-89
53;20;CNH;59503278824
54;20;CERT. Nasc;395035 88 55 0374 6 02782 196 3491950 67
55;21;CPF;573.347.786-50
56;21;RG;69.930.163-58
57;22;CPF;288.104.130-24
58;22;CNH;13320943050
59;22;CERT. Nasc;668341 39 65 7577 0 09266 535 4822457 60
60;23;RG;87.394.860-78
61;23;CNH;18725580807
62;23;CERT. Nasc;032870 45 20 1085 3 72183 781 4138444 68
63;24;RG;15.663.305-65
64;24;CNH;25193123723
65;24;CERT. Nasc;440711 40 03 9348 9 14936 781 6105932 25
66;25;RG;36.109.931-62
67;25;CNH;21124183951
68;25;CERT. Nasc;539459 18 14 8371 7 45993 324 8126046 32
69;26;CPF;700.909.602-38
70;26;CNH;65083378914
71;26;CERT. Nasc;655915 37 99 5047 1 83242 890 8932293 31
72;27;RG;67.026.403-66
73;27;CNH;19088445594
74;27;CERT. Nasc;192635 26 29 5567 0 12694 785 4809997 29
75;28;RG;27.480.405-46
76;28;CNH;16322172803
77;29;CPF;996.468.999-35
78;29;RG;87.715.061-23
79;30;CPF;062.970.322-11
80;30;CNH;26654961414
81;30;CERT. Nasc;762196 31 28 7120 5 50417 419 7279861 49
82;31;RG;32.946.919-34
83;31;CNH;73367921640
84;31;CERT. Nasc;853362 20 92 6963 8 75985 231 9253702 47
85;32;RG;79.263.628-43
86;32;CNH;73467405496
87;32;CERT. Nasc;960401 79 12 9844 6 09756 944 3423763 70
88;33;CPF;046.456.592-86
89;33;RG;14.497.388-06
90;34;CPF;074.388.337-39
91;34;CNH;97132283344
92;34;CERT. Nasc;962790 90 28 4653 2 96324 335 8657954 73
93;35;RG;78.779.239-26
94;35;CNH;44362959932
95;36;CPF;866.308.428-55
96;36;RG;75.050.210-64
97;37;RG;55.601.506-66
98;37;CNH;19622627340
